"index","word","meaning"
"1","absoluto (adj)","absolute"
"2","actual (adj)","current (adj)"
"3","adecuado (adj)","adequate, suitable"
"4","alemán (adj)","German"
"5","amplio (adj)","wide, ample, broad"
"6","azul (adj)","blue"
"7","cercano (adj)","near"
"8","cerrado (adj)","closed"
"9","civil (adj)","civil (adj)"
"10","concreto (adj)","concrete, real"
"11","conocido (adj)","known, well-known"
"12","corriente (nf)","current, flow (nf)"
"13","corto (adj)","short, brief"
"14","cuánto (adj)","how much?"
"15","cuarto (nm)","room, chamber (nm)"
"16","dado (adj)","given"
"17","debido: debido a (adj)","due to"
"18","definitivo (adj)","definitive, conclusive"
"19","determinado (adj)","determined, fixed"
"20","diario (nm)","newspaper (nm)"
"21","directo (adj)","direct, straight"
"22","dispuesto (adj)","willing, ready"
"23","diverso (adj)","different, several, diverse"
"24","duro (adj)","hard (adj)"
"25","enfermo (adj)","ill, sick"
"26","entero (adj)","entire, whole, complete"
"27","exacto (adj)","exact, faithful, true"
"28","extraño (adj)","strange, foreign"
"29","extraordinario (adj)","extraordinary, exceptional"
"30","fácil (adj)","easy"
"31","familiar (adj)","familiar, of the family (adj)"
"32","famoso (adj)","famous, well-known"
"33","feliz (adj)","happy, fortunate"
"34","físico (adj)","physical (adj)"
"35","francés (adj)","French"
"36","frío (adj)","cold (adj)"
"37","futuro (nm)","future (nm)"
"38","grave (adj)","serious, solemn"
"39","histórico (adj)","historical"
"40","imposible (adj)","impossible"
"41","inglés (adj)","English"
"42","inmediato (adj)","immediate"
"43","interesante (adj)","interesting"
"44","interior (nm)","interior, inside (nm)"
"45","interno (adj)","internal"
"46","italiano (adj)","Italian"
"47","justo (adv)","just (adv)"
"48","lleno (adj)","full, filled (as an object would de filled)"
"49","maestro (nm)","teacher (m), master (nm)"
"50","mas (conj)","but, however"
"51","material (nm)","material, element (nm)"
"52","médico (nm/f)","doctor (nm/f)"
"53","militar (adj)","military (adj)"
"54","mínimo (adj)","minimum (adj)"
"55","moderno (adj)","modern"
"56","muerto (adj)","dead (adj)"
"57","nacional (adj)","national"
"58","normal (adj)","normal, usual, regular"
"59","oscuro (adj)","dark, obscure"
"60","parecido (adj)","similar [also similar]"
"61","particular (adj)","particular, peculiar (adj)"
"62","peor (adv)","worse (adv)"
"63","perdido (adj)","lost"
"64","perfecto (adj)","perfect"
"65","personal (adj)","personal (adj)"
"66","plano (nm)","plane, map, level (nm)"
"67","pleno (adj)","complete, fulfilled (as emotionally)"
"68","popular (adj)","popular"
"69","preciso (adj)","precise, necessary"
"70","presente (nm)","present (nm)"
"71","privado (adj)","private"
"72","profesional (adj)","professional"
"73","puro (adj)","pure, clean"
"74","rápido (adj)","quick, fast"
"75","raro (adj)","strange, rare, scarce"
"76","religioso (adj)","religious"
"77","responsable (adj)","responsible"
"78","rico (adj)","rich, tasty"
"79","rojo (adj)","red"
"80","sencillo (adj)","simple, plain, easy"
"81","serio (adj)","serious"
"82","simple (adj)","simple, mere, simple-minded"
"83","suficiente (adj)","sufficient, enough"
"84","superior (adj)","superior, upper"
"85","supuesto (adj); por supuesto","supposed: of course"
"86","total (adj)","total, entire (adj)"
"87","unido (adj)","united"
"88","verde (adj)","green"
"89","abajo (adv)","down, below, downward"
"90","adelante (adv)","forward, further"
"91","alrededor (adv)","about, around, round (adv)"
"92","apenas (adv)","hardly, barely"
"93","arriba (adv)","up above"
"94","aun (adv)","even (though), still"
"95","completamente (adv)","completely"
"96","debajo (adv)","underneath, below"
"97","delante (adv)","in front of, ahead"
"98","detrás (adv)","in the back"
"99","directamente (adv)","directly, straight away"
"100","especialmente (adv)","especially"
"101","exactamente (adv)","exactly"
"102","finalmente (adv)","finally, at last"
"103","inmediatamente (adv)","immediately"
"104","jamás (adv)","never"
"105","junto (adj)","together (adj)"
"106","perfectamente (adv)","perfectly"
"107","precisamente (adv)","precisely"
"108","probablemente (adv)","probably"
"109","recién (adv)","recently, just"
"110","salvo (adv)","except for, but"
"111","seguramente (adv)","surely, securely"
"112","simplemente (adv)","simply, just"
"113","siquiera (adv)","even if"
"114","totalmente (adv)","totally, completely"
"115","artista (nc)","artist, performer"
"116","joven (nc)","teenager, young person (nc)"
"117","modelo (nc)","model, pattern"
"118","actitud (nf)","attitude"
"119","altura (nf)","height, altitude"
"120","autoridad (nf)","authority"
"121","ayuda (nf)","help, aid"
"122","boca (nf)","mouth, entrance, opening"
"123","calidad (nf)","quality"
"124","capacidad (nf)","capacity"
"125","carne (nf)","meat, flesh"
"126","carta (nf)","letter, playing card"
"127","causa (nf)","cause"
"128","ciencia (nf)","science, knowledge"
"129","circunstancia (nf)","circumstance"
"130","comida (nf)","food, meal"
"131","compañía (nf)","company"
"132","comunicación (nf)","communication"
"133","conciencia (nf)","conscience, consciousness"
"134","confianza (nf)","confidence, trust"
"135","consecuencia (nf)","consequence"
"136","construcción (nf)","construction"
"137","conversación (nf)","conversation"
"138","costumbre (nf)","habit, custom, usage"
"139","cultura (nf)","culture"
"140","decisión (nf)","decision"
"141","defensa (nf)","defense, plea"
"142","dificultad (nf)","difficulty, obstacle"
"143","dirección (nf)","direction, address"
"144","distancia (nf)","distance"
"145","educación (nf)","education"
"146","elección (nf)","election, choice"
"147","empresa (nf)","firm, company, venture"
"148","energía (nf)","energy, power"
"149","enfermedad (nf)","illness, sickness"
"150","entrada (nf)","entrance, admission ticket"
"151","escuela (nf)","school"
"152","esperanza (nf)","hope"
"153","esposa (nf)","wife"
"154","etapa (nf)","stage, period"
"155","existencia (nf)","existence, life"
"156","explicación (nf)","explanation"
