"index","word","kroman","meaning","kanja"
"1","네","ne","yes",""
"2","있다","iss-da","to exist;<div>to have;</div><div>to stay</div>",""
"3","학교","hag-gyo","school","學校"
"4","집","jib","house, home",""
"5","먹다","meog-da","to eat",""
"6","친구","cin-gu","friend","親舊"
"7","아니요","a-ni-yo","no",""
"8","보다","bo-da","to see, to look at",""
"9","저","jeo","I;<div>that (over there)</div>",""
"10","선생님","seon-saeng-nim","teacher","先生-"
"11","가다","ga-da","to go",""
"12","이름","i-reum","name",""
"13","한국","han-gug","Korea","韓國"
"14","하다","ha-da","to do",""
"15","그","geu","that (before nouns)",""
"16","학생","hag-saeng","student","學生"
"17","없다","eobs-da","to not exist;<div>to not have</div>",""
"18","어디","eo-di","where",""
"19","밥","bab","rice (cooked); meal",""
"20","공부하다","gong-bu-ha-da","to study","工夫"
"21","커피","keo-pi","coffee",""
"22","사람","sa-ram","person, people",""
"23","말하다","mar-ha-da","to speak",""
"24","책","caeg","book","冊"
"25","아버지","a-beo-ji","father",""
"26","좋다","joh-da","to be good, be nice;<div>to like</div>",""
"27","시간","si-gan","time; hours","時間"
"28","뭐","mweo","what",""
"29","마시다","ma-si-da","to drink",""
"30","영화","yeong-hwa","movie","映畵"
"31","어머니","eo-meo-ni","mother",""
"32","오다","o-da","to come",""
"33","물","mur","water",""
"34","미국","mi-gug","USA","美國"
"35","크다","keu-da","to be big",""
"36","이거","i-geo","this thing",""
"37","차","ca","tea;<div>car</div>","茶, 車"
"38","만나다","man-na-da","to meet",""
"39","여자","yeo-ja","woman, female","女子"
"40","오늘","o-neur","today",""
"41","안녕하다","an-nyeong-ha-da","to be well, be in good health","安寧"
"42","이","i","tooth;<div>this</div>",""
"43","머리","meo-ri","head;<div>hair</div>",""
"44","주다","ju-da","to give",""
"45","책상","caeg-sang","desk","冊床"
"46","누구","nu-gu","who",""
"47","예쁘다","ye-bbeu-da","to be pretty, charming",""
"48","주스","ju-seu","juice",""
"49","영어","yeong-eo","English (language)","英語"
"50","읽다","irk-da","to read",""
"51","사랑","sa-rang","love",""
"52","일","ir","work, matter;<div>day</div>","日"
"53","어렵다","eo-ryeob-da","to be difficult, hard",""
"54","빨리","bbar-ri","quickly",""
"55","남자","nam-ja","man, male","男子"
"56","사다","sa-da","to buy",""
"57","돈","don","money",""
"58","가방","ga-bang","bag",""
"59","감사하다","gam-sa-ha-da","to be thankful, thank, appreciate","感謝"
"60","같이","gat-i","together",""
"61","노래","no-rae","song",""
"62","듣다","deud-da","to listen, to hear",""
"63","전화","jeon-hwa","telephone","電話"
"64","제","je","my",""
"65","알다","ar-da","to know",""
"66","사과","sa-gwa","apple;<div>apology</div>","沙果"
"67","여기","yeo-gi","here",""
"68","쓰다","sseu-da","to write;<div>to use</div>",""
"69","월요일","weor-yo-ir","Monday","月曜日"
"70","옷","os","clothes",""
"71","운동하다","un-dong-ha-da","to work out, to exercise","運動"
"72","어제","eo-je","yesterday",""
"73","생각","saeng-gag","thought, idea",""
"74","맛있다","mas-iss-da","to be delicious, tasty",""
"75","우유","u-yu","milk","牛乳"
"76","잘","jar","well",""
"77","사랑하다","sa-rang-ha-da","to love",""
"78","대학교","dae-hag-gyo","college","大學校"
"79","볼펜","bor-pen","ballpoint pen",""
"80","재미있다","jae-mi-iss-da","to be fun, interesting",""
"81","이쪽","i-jjog","this side, our side",""
"82","방","bang","a room","房"
"83","자다","ja-da","to sleep",""
"84","동생","dong-saeng","younger sibling",""
"85","화요일","hwa-yo-ir","Tuesday","火曜日"
"86","춥다","cub-da","to be cold (regarding the weather)",""
"87","일본","ir-bon","Japan","日本"
"88","왜","wae","why",""
"89","노래하다","no-rae-ha-da","to sing",""
"90","음악","eum-ag","music","音樂"
"91","그럼","geu-reom","then, if so;<div>that's right</div>",""
"92","죄송하다","joe-song-ha-da","to be sorry, feel guilty","罪悚"
"93","서울","seo-ur","Seoul",""
"94","문","mun","door","門"
"95","모르다","mo-reu-da","to not know",""
"96","아침","a-cim","morning, breakfast",""
"97","의자","eui-ja","chair","椅子"
"98","살다","sar-da","to live",""
"99","많이","manh-i","a lot, many, plenty",""
"100","질문","jir-mun","question","質問"
"101","비싸다","bi-ssa-da","to be expensive",""
"102","말","mar","words, language;<div>horse</div>",""
"103","요리","yo-ri","cooking, dish","料理"
"104","앉다","anj-da","to sit, sit down",""
"105","언제","eon-je","when",""
"106","수요일","su-yo-ir","Wednesday","水曜日"
"107","작다","jag-da","to be small",""
"108","좀","jom","a little;<div>kindly;<div>certainly</div></div>",""
"109","지금","ji-geum","now","只今"
"110","놀다","nor-da","to hang out, to play",""
"111","연필","yeon-pir","pencil","鉛筆"
"112","바나나","ba-na-na","banana",""
"113","시작하다","si-jag-ha-da","to start, begin","始作"
"114","눈","nun","eye;<br>snow",""
"115","가족","ga-jog","family","家族"
"116","입다","ib-da","to wear",""
"117","김치","gim-ci","kimchi (traditional Korean dish made of seasoned vegetables and other ingredients)",""
"118","내일","nae-ir","tomorrow","來日"
"119","아프다","a-peu-da","to be sick;<div>to hurt, ache</div>",""
