"index","word","meaning","furi","pos","e.g.","eng","freq"
"1","それ","that, that one","それ","Pronoun","<b>それ</b>はとってもいい 話[はなし]だ。","That's a really nice story.","37"
"2","一つ","one (thing)","一[ひと]つ","Noun","それを<b> 一[ひと]つ</b>ください。","Please give me one of those.","247"
"3","一","one","一[いち]","Noun","<b> 一[いち]</b>から 始[はじ]めましょう。","Let's start from the beginning.","35"
"4","二","two","二[に]","Noun","その 人[ひと]には<b> 二[に]</b> 回会[かい あ]った。","I met that person twice.","42"
"5","二つ","two (things)","二[ふた]つ","Noun","ソフトクリームを<b> 二[ふた]つ</b>ください。","Please give me two ice cream cones.","589"
"6","三","three","三[さん]","Noun","彼女[かのじょ]は<b> 三[さん]</b> 人[にん]の 子供[こども]の 母親[ははおや]だ。","She's the mother of three children.","59"
"7","三つ","three (things)","三[みっ]つ","Noun","コップを<b> 三[みっ]つ</b> 買[か]いました。","I bought three glasses.","1401"
"8","四つ","four (things)","四[よっ]つ","Noun","私[わたし]は 腕時計[うでどけい]を<b> 四[よっ]つ</b> 持[も]っています。","I have four wristwatches.","3088"
"9","四","four","四[し]","Noun","<b> 四[し]</b> 月[がつ]に 大学[だいがく]に 入学[にゅうがく]しました。","I entered my university in April.","122"
"10","これ","this, this one","これ","Noun","<b>これ</b>をください。","I'll have this please.","57"
"11","四","four","四[よん]","Noun","ハワイは<b> 四[よん]</b> 回目[かいめ]です。","This is my fourth trip to Hawaii.","122"
"12","五つ","five (things)","五[いつ]つ","Noun","桃[もも]を<b> 五[いつ]つ</b>ください。","I'd like five peaches, please.","4742"
"13","五","five","五[ご]","Noun","<b> 五[ご]</b> 人[にん]で 旅行[りょこう]に 行[い]きました。","Five of us went on a trip.","105"
"14","六つ","six (things)","六[むっ]つ","Noun","息子[むすこ]は<b> 六[むっ]つ</b>になりました。","My son turned six.","8020"
"15","六","six","六[ろく]","Noun","彼[かれ]には 子供[こども]が<b> 六[ろく]</b> 人[にん]います。","He has six children.","149"
"16","七","seven","七[なな]","Noun","バナナが<b> 七[なな]</b> 本[ほん]あります。","There are seven bananas.","169"
"17","七つ","seven (things)","七[なな]つ","Noun","この 子[こ]は 今年[ことし]<b> 七[なな]つ</b>になります。","Our kid's turning seven this year.","7460"
"18","八","eight","八[はち]","Noun","りんごを<b> 八[はち]</b> 個[こ]ください。","Please give me eight apples.","160"
"19","八つ","eight (things)","八[やっ]つ","Noun","あの 家[いえ]には 時計[とけい]が<b> 八[やっ]つ</b>あります。","There are eight clocks in that house.","10055"
"20","なる","become","なる","Verb","彼[かれ]は 医者[いしゃ]に<b>なりました</b>。","He became a doctor.","19"
"21","九","nine","九[きゅう]","Noun","野球[やきゅう]は<b> 九[きゅう]</b> 人[にん]で 1[ひと]チームです。","In baseball there are nine people on one team.","184"
"22","九つ","nine (things)","九[ここの]つ","Noun","娘[むすめ]は 明日[あす]<b> 九[ここの]つ</b>になります。","My daughter's turning nine tomorrow.","17641"
"23","十","ten","十[じゅう]","Noun","その 子[こ]は 指[ゆび]で<b> 十[じゅう]</b> 数[かぞ]えました。","The child counted to ten on her fingers.","52"
"24","百","hundred","百[ひゃく]","Noun","私[わたし]の 祖母[そぼ]は<b> 百[ひゃく]</b> 才[さい]です。","My grandmother is 100 years old.","213"
