"index","word","meaning","pos","rank"
"1","el, la","the","art","1"
"2","de","of, from","prep)&nbsp;de","2"
"3","que","that, which","conj","3"
"4","y","and","conj","4"
"5","a","to, at","prep","5"
"6","en","in, on","prep","6"
"7","un","a, an","art","7"
"8","ser","to be (norm) (v)","v","8"
"9","se","<div><div>oneself, self</div></div>","pron","9"
"10","no","no","adv","10"
"11","haber","to have (aux v)","v","11"
"12","por","by, for, through","prep","12"
"13","con","with","prep","13"
"14","su","his/her/their/your (formal)","adj","14"
"15","para","for, to, in order to","prep","15"
"16","como","like, as","conj","16"
"17","estar","to be (location, change from norm)","v","17"
"18","tener","to have","v","18"
"19","le","3rd person indir obj","pron","19"
"20","lo","the (neuter art)","art","20"
"21","lo","3rd person dir obj-m","pron","21"
"22","todo","all, every","adj","22"
"23","pero","but, yet, except","conj","23"
"24","más","more","adj","24"
"25","hacer","to do, to make","v","25"
"26","o","or","conj","26"
"27","poder","to be able to, can (v)","v","27"
"28","decir","to tell, say","v","28"
"29","este, esta","this (adj)","adj","29"
"30","ir","to go","v","30"
"31","otro","other, another","adj","31"
"32","ese, esa","that","adj","32"
"33","la","3rd person dir obj-f","pron","33"
"34","si","if, whether","conj","34"
"35","me","me (pron)","pron) [also mí]","35"
"36","ya","already, still","adv","36"
"37","ver","to see","v","37"
"38","porque","because","conj","38"
"39","dar","to give","v","39"
"40","cuando","when (conj)","conj","40"
"41","él","he, [ellos] them (m)","pron","41"
"42","muy","very, really","adv","42"
"43","sin","without","prep","43"
"44","vez","time (specific occurrence)","nf","44"
"45","mucho","much, many, a lot","adj, adv","45"
"46","saber","to know (a fact), find out (v)","v","46"
"47","qué","what?, which?, how (adj)!","adj","47"
"48","sobre","on top of, over, about","prep","48"
"49","mi","my","adj","49"
"50","alguno","some, someone","adj, pron","50"
"51","mismo","same","adj","51"
"52","yo","I (pron)","pron","52"
"53","también","also","adv","53"
"54","hasta","until, up to, even (adv)","prep","54"
"55","año","year","nm","55"
"56","dos","two","num","56"
"57","querer","to want, love","v","57"
"58","entre","between, among","prep","58"
"59","así","like that","adv","59"
"60","primero","first","adj","60"
"61","desde","from, since","prep","61"
"62","grande","large, great, big","adj","62"
"63","eso","that (pron)","pron","63"
"64","ni","not even, neither, nor","conj","64"
"65","nos","us","pron","65"
"66","llegar","to arrive","v","66"
"67","pasar","to pass, spend time","v","67"
"68","tiempo","time (general), weather","nm","68"
"69","ella, ellas","she,&nbsp;them (f)","pron","69"
"70","sí","yes","adv","70"
"71","día","day","nm","71"
"72","uno","one","num","72"
"73","bien","well (adv)","adv) [also bueno]","73"
"74","poco","little, few, a little bit (adv)","adj","74"
"75","deber","should, ought to; to owe (v)","v","75"
"76","entonces","so, then","adv","76"
"77","poner","to put on","v","77"
"78","cosa","thing","nf","78"
"79","tanto","so much, so many","adj","79"
"80","hombre","man, mankind, husband","nm","80"
"81","parecer","to seem, look like (v)","v","81"
"82","nuestro","our","adj","82"
"83","tan","such, as, too, so","adv","83"
"84","donde","where","conj","84"
"85","ahora","now","adv","85"
"86","parte","part, portion","nf","86"
"87","después","after","adv","87"
"88","vida","life","nf","88"
